Company Under Study: Hewlett-Packard(hpq),,,,
Model Used,Case,Accuracy,f1_score,auc_score
RandomForestClassifier,I,0.79,0.8,0.79
,II,0.8,0.81,0.79
,III,0.81,0.82,0.81
SVM,I,0.7,0.72,0.7
,II,0.71,0.72,0.71
,III,0.72,0.74,0.72
LogisticRegression,I,0.53,0.56,0.53
,II,0.54,0.56,0.54
,III,0.53,0.56,0.53
ExtraTreesClassifier,I,0.83,0.84,0.83
,II,0.84,0.85,0.84
,III,0.84,0.85,0.84
BaggingClassifier,I,0.74,0.73,0.74
,II,0.75,0.75,0.75
,III,0.72,0.73,0.72
DecisionTreeClassifier,I,0.7,0.71,0.7
,II,0.66,0.66,0.67
,III,0.73,0.74,0.73
AdaBoostClassifier,I,0.66,0.68,0.65
,II,0.65,0.68,0.65
,III,0.65,0.67,0.65
Basic_LSTM(lookback = 2),I,0.49,0.28,0.5
,II,0.48,0.46,0.48
,III,0.49,0.46,0.49
Basic_LSTM(lookback = 3),I,0.47,0.36,0.48
,II,0.47,0.44,0.47
,III,0.49,0.52,0.49
Basic_LSTM(lookback = 5),I,0.52,0.57,0.51
,II,0.48,0.45,0.48
,III,0.48,0.49,0.48
LSTM(lookback = 2),I,0.54,0.56,0.54
,II,0.5,0.5,0.5
,III,0.53,0.52,0.53
LSTM(lookback = 3),I,0.52,0.37,0.53
,II,0.54,0.57,0.54
,III,0.51,0.34,0.52
LSTM(lookback = 5),I,0.55,0.52,0.55
,II,0.48,0.47,0.48
,III,0.5,0.36,0.5
