,0,1,2,3,4
0,RandomForestClassifier,2,0.8,0.83,0.78
1,,3,0.79,0.83,0.78
2,,5,0.79,0.82,0.78
3,SVM,2,0.72,0.79,0.7
4,,3,0.72,0.78,0.69
5,,5,0.7,0.78,0.67
6,LogisticRegression,2,0.59,0.68,0.56
7,,3,0.59,0.68,0.56
8,,5,0.6,0.69,0.57
9,ExtraTreesClassifier,2,0.82,0.85,0.81
10,,3,0.82,0.85,0.82
11,,5,0.83,0.85,0.82
12,BaggingClassifier,2,0.78,0.8,0.79
13,,3,0.72,0.75,0.73
14,,5,0.74,0.77,0.74
15,DecisionTreeClassifier,2,0.7,0.75,0.7
16,,3,0.69,0.73,0.68
17,,5,0.68,0.73,0.67
18,AdaBoostClassifier,2,0.6,0.66,0.59
19,,3,0.63,0.68,0.62
20,,5,0.62,0.68,0.61
21,Basic_LSTM(lookback = 2),2,0.43,0.38,0.45
22,,3,0.41,0.32,0.45
23,,5,0.51,0.49,0.53
24,Basic_LSTM(lookback = 3),2,0.41,0.12,0.49
25,,3,0.53,0.6,0.51
26,,5,0.47,0.54,0.45
27,Basic_LSTM(lookback = 5),2,0.49,0.53,0.49
28,,3,0.53,0.57,0.53
29,,5,0.48,0.51,0.49
30,Conv(lookback = 2),2,0.51,0.53,0.51
31,,3,0.48,0.57,0.46
32,,5,0.46,0.54,0.44
33,Conv(lookback = 3),2,0.52,0.58,0.51
34,,3,0.52,0.62,0.49
35,,5,0.54,0.66,0.49
36,Conv(lookback = 5),2,0.51,0.54,0.51
37,,3,0.41,0.0,0.5
38,,5,0.49,0.6,0.46
39,LSTM(lookback = 2),2,0.56,0.65,0.53
40,,3,0.52,0.49,0.55
41,,5,0.52,0.55,0.53
42,LSTM(lookback = 3),2,0.53,0.6,0.52
43,,3,0.53,0.6,0.52
44,,5,0.54,0.62,0.52
45,LSTM(lookback = 5),2,0.51,0.58,0.5
46,,3,0.52,0.6,0.5
47,,5,0.51,0.53,0.52
