Company Under Study: JP Morgan,,,,
Model Used,Case,Accuracy,f1_score,auc_score
RandomForestClassifier,1,0.8,0.83,0.78
,2,0.79,0.83,0.78
,3,0.79,0.82,0.78
SVM,1,0.72,0.79,0.7
,2,0.72,0.78,0.69
,3,0.7,0.78,0.67
LogisticRegression,1,0.59,0.68,0.56
,2,0.59,0.68,0.56
,3,0.6,0.69,0.57
ExtraTreesClassifier,1,0.82,0.85,0.81
,2,0.82,0.85,0.82
,3,0.83,0.85,0.82
BaggingClassifier,1,0.78,0.8,0.79
,2,0.72,0.75,0.73
,3,0.74,0.77,0.74
DecisionTreeClassifier,1,0.7,0.75,0.7
,2,0.69,0.73,0.68
,3,0.68,0.73,0.67
AdaBoostClassifier,1,0.6,0.66,0.59
,2,0.63,0.68,0.62
,3,0.62,0.68,0.61
Basic_LSTM(lookback = 2),1,0.43,0.38,0.45
,2,0.41,0.32,0.45
,3,0.51,0.49,0.53
Basic_LSTM(lookback = 3),1,0.41,0.12,0.49
,2,0.53,0.6,0.51
,3,0.47,0.54,0.45
Basic_LSTM(lookback = 5),1,0.49,0.53,0.49
,2,0.53,0.57,0.53
,3,0.48,0.51,0.49
LSTM(lookback = 2),1,0.56,0.65,0.53
,2,0.52,0.49,0.55
,3,0.52,0.55,0.53
LSTM(lookback = 3),1,0.53,0.6,0.52
,2,0.53,0.6,0.52
,3,0.54,0.62,0.52
LSTM(lookback = 5),1,0.51,0.58,0.5
,2,0.52,0.6,0.5
,3,0.51,0.53,0.52
