2020-06-17 20:30:56,310 - numexpr.utils - INFO - NumExpr defaulting to 8 threads.
2020-06-17 20:31:12,156 - utilities - INFO - Accurary: 0.470, AUC 0.489 and F1 score0.489 
2020-06-17 20:31:19,565 - utilities - INFO - Accurary: 0.520, AUC 0.510 and F1 score0.510 
2020-06-17 20:31:27,918 - utilities - INFO - Accurary: 0.492, AUC 0.461 and F1 score0.461 
2020-06-17 20:31:58,141 - utilities - INFO - Accurary: 0.422, AUC 0.507 and F1 score0.507 
2020-06-17 20:32:05,825 - utilities - INFO - Accurary: 0.544, AUC 0.537 and F1 score0.537 
2020-06-17 20:32:14,653 - utilities - INFO - Accurary: 0.459, AUC 0.472 and F1 score0.472 
2020-06-17 20:32:44,188 - utilities - INFO - Accurary: 0.546, AUC 0.497 and F1 score0.497 
2020-06-17 20:32:46,768 - utilities - INFO - Accurary: 0.488, AUC 0.463 and F1 score0.463 
2020-06-17 20:32:49,988 - utilities - INFO - Accurary: 0.484, AUC 0.475 and F1 score0.475 
2020-06-17 20:33:32,559 - utilities - INFO - Accurary: 0.506, AUC 0.518 and F1 score0.518 
2020-06-17 20:33:39,725 - utilities - INFO - Accurary: 0.456, AUC 0.461 and F1 score0.461 
2020-06-17 20:33:44,967 - utilities - INFO - Accurary: 0.520, AUC 0.518 and F1 score0.518 
2020-06-17 20:34:33,523 - utilities - INFO - Accurary: 0.474, AUC 0.481 and F1 score0.481 
2020-06-17 20:34:38,537 - utilities - INFO - Accurary: 0.528, AUC 0.529 and F1 score0.529 
2020-06-17 20:34:47,187 - utilities - INFO - Accurary: 0.557, AUC 0.560 and F1 score0.560 
2020-06-17 20:35:32,140 - utilities - INFO - Accurary: 0.490, AUC 0.488 and F1 score0.488 
2020-06-17 20:35:34,779 - utilities - INFO - Accurary: 0.464, AUC 0.467 and F1 score0.467 
2020-06-17 20:35:38,055 - utilities - INFO - Accurary: 0.500, AUC 0.499 and F1 score0.499 
2020-06-17 20:35:41,633 - utilities - INFO - Accurary: 0.417, AUC 0.500 and F1 score0.500 
2020-06-17 20:35:42,829 - utilities - INFO - Accurary: 0.364, AUC 0.400 and F1 score0.400 
2020-06-17 20:35:44,065 - utilities - INFO - Accurary: 0.444, AUC 0.500 and F1 score0.500 
2020-06-17 20:35:48,219 - utilities - INFO - Accurary: 0.500, AUC 0.543 and F1 score0.543 
2020-06-17 20:35:49,595 - utilities - INFO - Accurary: 0.455, AUC 0.500 and F1 score0.500 
2020-06-17 20:35:52,106 - utilities - INFO - Accurary: 0.444, AUC 0.500 and F1 score0.500 
2020-06-17 20:36:03,494 - utilities - INFO - Accurary: 0.417, AUC 0.500 and F1 score0.500 
2020-06-17 20:36:08,176 - utilities - INFO - Accurary: 0.364, AUC 0.400 and F1 score0.400 
2020-06-17 20:36:12,443 - utilities - INFO - Accurary: 0.556, AUC 0.575 and F1 score0.575 
2020-06-17 20:36:40,665 - utilities - INFO - Accurary: 0.534, AUC 0.534 and F1 score0.534 
2020-06-17 20:36:48,638 - utilities - INFO - Accurary: 0.476, AUC 0.490 and F1 score0.490 
2020-06-17 20:36:59,367 - utilities - INFO - Accurary: 0.508, AUC 0.505 and F1 score0.505 
2020-06-17 20:37:31,741 - utilities - INFO - Accurary: 0.506, AUC 0.534 and F1 score0.534 
2020-06-17 20:37:39,601 - utilities - INFO - Accurary: 0.468, AUC 0.506 and F1 score0.506 
2020-06-17 20:37:48,955 - utilities - INFO - Accurary: 0.496, AUC 0.502 and F1 score0.502 
2020-06-17 20:38:27,473 - utilities - INFO - Accurary: 0.502, AUC 0.508 and F1 score0.508 
2020-06-17 20:38:30,743 - utilities - INFO - Accurary: 0.504, AUC 0.529 and F1 score0.529 
2020-06-17 20:38:34,583 - utilities - INFO - Accurary: 0.516, AUC 0.525 and F1 score0.525 
2020-06-17 20:38:51,817 - utilities - INFO - Accurary: 0.534, AUC 0.536 and F1 score0.536 
