,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,0
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,1
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,0
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,1
374,1
375,1
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,0
430,0
431,0
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,0
461,1
462,1
463,0
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
